CODMUNDV;NOME_MUNIC;NOME_UF;UF;REG;CENTR;RM;MUN_HIS_TUR;POP_2010;POP_URB_10;POP_2015;POP_2016;TXC_POP_10_16;AREA;DENS_2016;PART_12;PART_16;ANTEN_TOTAL;AREA_URB;PIB;PIB_PER_CAP;PRIN_ATIVIDADE;RENDA;VEIC_2016;AUTO_2016;MOTO_2016;VEIC_2010;AUTO_2010;MOTO_2010;TXC_AUTO_10_16;TXC_MOTO_10_16;ACESS;PAV;CAL;ARB;LOGR;TX_ACID_TRAN;IDH;PD;PD_ANO;PDMU;Zona;LON;LAT;dif_EuclRede
3554003;Tatuí;SÃO PAULO;SP;Sudeste;Centro de Zona A;RMS;1;107326;0,952760748;116682;117823;0,021115175;523,5;225,0678128;PMDB;PSDB;47;22,22;3348512,874;29292,23782;Serviços;790,3744195;75927;44675;25695;51807;30073;17806;0,082374523;0,076109463;0,00994269;0,835968823;0,783627041;0,597761042;0,65577864;24,23927628;0,752;1;2006;0;624;-47,85295506;-23,34965604;2635,842226
3512803;Cosmópolis;SÃO PAULO;SP;Sudeste;;RMC;0;58827;0,928723205;66807;67960;0,032312812;154,7;439,3018746;PMDB;PT;16;10,52;1229257,155;19083,39914;Serviços;824,0406818;36189;24686;8746;26989;18347;6707;0,061150866;0,054523429;0,005862132;0,788408075;0,760700128;0,865307838;0,780695776;22,85609801;0,769;1;2007;0;203;-47,19150068;-22,63721869;4335,881675
3541000;Praia Grande;SÃO PAULO;SP;Sudeste;;RMBS;1;262051;1;299261;304705;0,033751316;147,5;2065,79661;PSDB;PSDB;126;121,74;4955164,403;17207,40364;Serviços;963,4168567;126038;78312;39267;75592;45985;24980;0,112352474;0,094679683;0,050709838;0,902884833;0,888636512;0,729957495;0,704463662;9,533699927;0,754;1;2006;1;307;-46,50370541;-24,0288749;6749,941231
3537909;Pilar Do Sul;SÃO PAULO;SP;Sudeste;Centro Local;RMS;0;26406;0,785730516;28309;28516;0,017549341;681,1;41,86756717;PSDB;DEM;10;0;446983,2204;16032,39671;Serviços;529,6022727;18758;12177;4561;11386;7151;3004;0,112332702;0,087106341;0,006877058;0,539251271;0,511890171;0,433192456;0,486851146;35,59098836;0,69;1;1980;0;616;-47,72318022;-23,81015807;4275,08388
3531100;Mongaguá;SÃO PAULO;SP;Sudeste;;RMBS;1;46293;0,995636489;52492;53384;0,031916243;142,1;375,6790992;PSDB;PSDB;21;35,34;692370,577;13672,13477;Serviços;718,9387368;19485;13418;4431;10192;6622;2663;0,151700942;0,107200101;0,027259648;0,802723707;0,805807119;0,57042747;0,770557;13,57115161;0,754;1;2006;1;305;-46,69409764;-24,12285785;8982,359183
3519055;Holambra;SÃO PAULO;SP;Sudeste;Centro Local;RMC;1;11299;0,724311886;13375;13698;0,043069978;65,6;208,8109756;PTB;PTB;10;0;603033,2778;47456,77798;Serviços;1056,1008;8245;5605;1662;5795;3794;1325;0,081174161;0,046364575;0,020074079;0,396503774;0,367134257;0,405180392;0,360353787;15,33036946;0,793;1;2007;;205;-47,04947669;-22,63192176;4986,157009
3530607;Mogi Das Cruzes;SÃO PAULO;SP;Sudeste;;RMSP;1;387779;0,921434632;424633;429321;0,022956966;713,3;601,8799944;PSD;PSDB;200;139,36;12917526,82;31133,54758;Serviços;923,7457928;216822;165452;31420;154033;117554;23055;0,070747137;0,063869139;0,011045204;0,74590617;0,702812791;0,519518546;0,755698689;14,29119258;0,783;1;2006;1;123;-46,19890528;-23,52867579;4311,444916
3556354;Vargem;SÃO PAULO;SP;Sudeste;Centro Local;MR Bragança;0;8801;0,502329281;9854;10000;0,02865593;142,8;70,0280112;DEM;PSD;8;0;93817,51311;9823,823362;Serviços;642,56375;5379;3741;1076;3198;2159;647;0,116212838;0,10708661;0,001811594;0,24419914;0,221633453;0,244665356;0,250753827;51,52514427;0,699;1;2000;;909;-46,41447341;-22,89019059;6437,981855
3545803;Santa Bárbara D'Oeste;SÃO PAULO;SP;Sudeste;;RMC;1;180009;0,992150392;190139;191024;0,013781231;271,5;703,587477;PV;PV;51;66,87;5129705,865;27241,90856;Serviços;837,4727778;131875;90037;33890;98779;65694;27579;0,065072232;0,042074121;0,010659084;0,937900438;0,913883855;0,933036578;0,726381154;12,68277732;0,781;1;2006;0;215;-47,409337;-22,75871707;3261,10506
3502754;Araçariguama;SÃO PAULO;SP;Sudeste;;RMS;1;17080;1;20114;20581;0,04172394;146,3;140,6766917;PSDB;PV;20;3,25;1388165,931;72511,80166;Indústria;731,502;8977;6121;1690;5201;3439;1009;0,122220094;0,108661861;0,001262395;0,471550966;0,450297055;0,439197751;0,420788502;15,2780607;0,704;0;;0;603;-47,07237502;-23,43443388;3423,933704
3553500;Tapiraí;SÃO PAULO;SP;Sudeste;Centro Local;RMS;0;8012;0,714927609;8047;8010;0,001090327;755,1;10,60786651;PSB;PSDB;5;0;118107,9166;14536,35896;Agropecuária;479,0393333;3057;2130;533;2017;1383;353;0,090213322;0,085901669;0,002492212;0,321526794;0,157122143;0,374218574;0,138739884;24,73716759;0,681;1;2011;0;623;-47,50401966;-23,96045851;7192,744319
3513504;Cubatão;SÃO PAULO;SP;Sudeste;;RMBS;1;118720;1;127006;127887;0,017009682;142,4;898,0828652;PT;PSDB;60;77,04;7722279,592;61690,38962;Serviços;673,149235;49699;30285;12215;37433;22235;9333;0,063746365;0,055296362;0,04486001;0,55573691;0,544676475;0,490386847;0,433669723;18,23876928;0,737;1;1998;0;302;-46,42801615;-23,89683525;5342,174619
3538204;Pinhalzinho;SÃO PAULO;SP;Sudeste;Centro Local;MR Bragança;1;13105;0,492560092;14423;14595;0,024246868;154,5;94,46601942;PV;DEM;10;0;203690,3072;14480,01047;Serviços;658,7246667;8262;5865;1596;5050;3420;1083;0,113905587;0,08063962;0,000621118;0,33675162;0,316950779;0,325169628;0,241385896;35,09510774;0,725;0;;;906;-46,59085815;-22,78379708;7495,4005
3501608;Americana;SÃO PAULO;SP;Sudeste;;RMC;1;210638;0,995328478;229322;231621;0,021473842;133,4;1736,289355;PMDB;PMDB;81;107,15;9890708,533;44046,60203;Serviços;1162,862299;165284;120641;32611;124241;89169;26548;0,062322076;0,041996983;0,046516955;0,968001798;0,936911346;0,962257658;0,787061611;20,26699564;0,811;1;2008;0;201;-47,32259974;-22,74050887;3128,691334
3546801;Santa Isabel;SÃO PAULO;SP;Sudeste;;RMSP;1;50453;0,784710523;54926;55476;0,021463246;362,7;152,9528536;PV;PRB;29;33,71;1309914,166;24355,0901;Serviços;621,365;25974;17545;6021;16576;10682;4252;0,104333279;0,072050082;0,011079522;0,495079233;0,424423882;0,561755506;0,595441469;31,27126906;0,738;1;2007;1;130;-46,22340359;-23,32035739;3495,662613
3511508;Cerquilho;SÃO PAULO;SP;Sudeste;Centro Local;RMS;0;39617;0,948254537;45142;45947;0,033177174;127,8;359,5226917;PTB;PSDB;11;0;1471018,781;33837,5263;Indústria;959,4403922;26811;19038;5680;19064;13277;4257;0,07474213;0,059373091;0,004617336;0,895026278;0,848464541;0,90246088;0,74639903;24,81949458;0,782;1;1971;0;607;-47,74337478;-23,16724295;4145,187518
3554508;Tietê;SÃO PAULO;SP;Sudeste;Centro de Zona B;RMS;0;36835;0,909162481;40194;40613;0,022057051;404,8;100,3285573;PSD;PSDB;21;0;1531636,716;38949,15867;Serviços;926,1237736;25135;17280;5300;18372;12666;3713;0,064096099;0,073767325;0,006146822;0,749116636;0,716575441;0,604642367;0,622282374;7,544322897;0,778;1;2006;0;625;-47,71523483;-23,10930776;3583,998348
3524709;Jaguariúna;SÃO PAULO;SP;Sudeste;;RMC;1;44311;0,971158403;51907;53069;0,040347899;141,8;374,2524683;PTB;PMDB;26;14,08;6163747,609;124527,7008;Serviços;927,9127848;36641;24161;9614;25314;16305;6959;0,081829501;0,066771627;0,039005137;0,586104314;0,537666901;0,521807277;0,627251038;11,82988624;0,784;1;1985;0;209;-46,9875688;-22,6934986;4773,413261
3530904;Mombuca;SÃO PAULO;SP;Sudeste;Centro Local;AUP;0;3266;0,822106552;3441;3456;0,013134543;133,7;25,84891548;PR;PR;5;0;59970,70362;17581,56072;Agropecuária;699,1414286;1666;1193;278;1049;733;183;0,102319002;0,087223275;;0,552782649;0,534220323;0,474389531;0,109256974;116,7542323;0,719;0;;0;715;-47,56361015;-22,93152948;4498,773942
3538600;Piracaia;SÃO PAULO;SP;Sudeste;;MR Bragança;1;25116;1;26688;26841;0,015292992;385;69,71688312;PSDB;PSB;13;3,77;364053,3304;13805,06353;Serviços;683,6455556;16365;10398;4712;10359;6365;3169;0,103139107;0,082571547;0,001401337;0,552621556;0,489296952;0,211712568;0,372027306;33,92130258;0,739;1;2007;0;907;-46,35936002;-23,05287742;5227,74491
3510302;Capela Do Alto;SÃO PAULO;SP;Sudeste;Centro Local;RMS;0;17532;0,82831394;19482;19747;0,026716447;169,9;116,2271925;PV;PPS;8;0;244975,7602;12939,08838;Serviços;589,6136667;10135;6406;2727;6126;3768;1699;0,111975473;0,099254752;0,007465594;0,478808227;0,346875208;0,567534966;0,386481052;26,02540079;0,699;1;1968;;606;-47,73774679;-23,46850596;4500,099318
3533403;Nova Odessa;SÃO PAULO;SP;Sudeste;;RMC;0;51242;0,983704773;56764;57504;0,025915827;73,8;779,1869919;PSDB;PSDB;25;18,53;2404549,6;43537,80803;Serviços;857,5353684;39392;28175;8586;27971;19434;6699;0,077110713;0,050887391;0,024162739;0,795539478;0,745573383;0,782333515;0,794779445;5,35637766;0,791;1;2012;0;212;-47,28513663;-22,78426041;3444,532087
3536505;Paulínia;SÃO PAULO;SP;Sudeste;;RMC;0;82146;0,999074818;97702;100128;0,044309571;138,8;721,3832853;PSB;PP;47;37,67;12153538,62;131151,4074;Serviços;1211,699758;65223;47879;9978;46217;33443;8057;0,074404871;0,04369602;0,019191957;0,923798671;0,736912258;0,919109851;0,922944072;16,80301614;0,795;1;2006;0;213;-47,1450701;-22,74835841;5629,681849
3552502;Suzano;SÃO PAULO;SP;Sudeste;;RMSP;1;262480;0,964797318;285280;288056;0,0210424;206,6;1394,269119;PSDB;PR;81;122,62;8998633,452;32193,1649;Indústria;668,0495263;121225;94150;16118;78164;59978;11705;0,094373754;0,066075461;0,018060696;0,79363907;0,725974631;0,692523387;0,568788735;13,10008108;0,765;1;2004;0;136;-46,30451286;-23,54340788;3917,407956
3544103;Rio Grande Da Serra;SÃO PAULO;SP;Sudeste;;RMSP;0;43974;1;48302;48861;0,023746159;36,9;1324,146341;PSDB;PSDB;11;6,26;521262,5345;11057,28511;Serviços;574,5938182;17358;12963;2596;10214;7711;1709;0,109478686;0,087207714;0,026827603;0,66726826;0,574886712;0,561058982;0,728331221;4,19014896;0,749;1;2006;0;128;-46,39704364;-23,74700871;5017,277733
3537107;Pedreira;SÃO PAULO;SP;Sudeste;;RMC;1;41558;0,991602098;45579;46094;0,023357881;109,2;422,1062271;PT;PSB;13;11,22;941568,2252;21154,55807;Serviços;803,1376667;31667;17380;12224;23018;12396;9128;0,069925753;0,060150547;0,003573243;0,732739246;0,695055101;0,632711617;0,524850286;17,75725828;0,769;1;2008;0;214;-46,88852929;-22,7548692;7809,967111
3554953;Tuiuti;SÃO PAULO;SP;Sudeste;Centro Local;MR Bragança;0;5930;0,500674536;6533;6612;0,024505965;126,7;52,18626677;DEM;DEM;5;0;103316,5081;16221,77863;Serviços;651,1433333;2992;1966;769;1802;1079;548;0,12748926;0,070111808;0,012141071;0,326985845;0,284278712;0,144704377;0,254295516;15,49907006;0,728;1;1996;;908;-46,69364694;-22,81704679;5812,646204
3521002;Iperó;SÃO PAULO;SP;Sudeste;;RMS;0;28300;0,617067138;33367;34149;0,0420359;170;200,8764706;PSDB;PSB;10;7,97;412404,6887;12991,16991;Serviços;545,1382857;8706;6230;1857;5423;3788;1246;0,104626901;0,083075601;;0,489231766;0,406230142;0,523679186;0,511340151;9,211495947;0,719;1;2006;0;610;-47,69206075;-23,35296663;3593,889162
3503901;Arujá;SÃO PAULO;SP;Sudeste;;RMSP;0;74905;0,960096122;83939;85199;0,028876495;96,4;883,8070539;PR;PMDB;35;41,46;2874463,951;35344,95673;Serviços;876,6054839;50839;36854;6623;34475;24913;4966;0,081463137;0,059277159;0,000795036;0,86485998;0,669986961;0,761863334;0,827602601;15,72878731;0,784;1;2007;0;101;-46,31908728;-23,38596816;3509,315485
3552403;Sumaré;SÃO PAULO;SP;Sudeste;;RMC;0;241311;0,988226811;265955;269522;0,024608041;153;1761,581699;PSDB;PPS;65;107,81;11327493,26;43810,59911;Serviços;820,4941333;146751;109053;27842;101283;75132;19836;0,077364183;0,07016136;0,014683371;0,884011607;0,874342962;0,860432207;0,617230458;19,06156122;0,762;1;2006;0;217;-47,26409353;-22,81970613;3393,911459
3507001;Boituva;SÃO PAULO;SP;Sudeste;;RMS;0;48314;0,94067972;55725;56830;0,036320933;249;228,2329317;PTB;PSDB;19;13,98;2494394,837;46684,41236;Serviços;901,2919008;36436;26299;6120;22167;16223;3903;0,10144195;0,094134152;0,025496737;0,734808076;0,637735807;0,832775148;0,621467065;25,64384365;0,78;1;2000;0;605;-47,67496121;-23,28758396;2823,067403
3543303;Ribeirão Pires;SÃO PAULO;SP;Sudeste;;RMSP;1;113068;1;120396;121130;0,015823106;98,8;1226,012146;PMDB;PSB;48;69,8;2660355,141;22380,18643;Serviços;846,6771341;63711;48978;7055;47583;36632;5207;0,059810171;0,062629548;0,017154002;0,844114003;0,777711908;0,668586494;0,894007308;15,88044532;0,784;1;2014;0;127;-46,41434144;-23,71162686;5855,390317
3507605;Bragança Paulista;SÃO PAULO;SP;Sudeste;Centro Subregional B;MR Bragança;1;146744;0,969409311;160665;162435;0,022916612;512,6;316,8845103;PT;DEM;70;29,81;4312883,156;27471,46824;Serviços;840,0309718;115051;75269;31890;80013;51901;22941;0,077179511;0,068091441;0,015178132;0,639744276;0,609480722;0,479559977;0,605349879;21,40303168;0,776;1;1991;1;900;-46,53882126;-22,94946906;4764,1256
3539806;Poá;SÃO PAULO;SP;Sudeste;;RMSP;0;106013;0,984200051;113793;114650;0,017862479;17,1;6704,678363;PDT;PR;23;15,47;5263922,933;46993,0182;Serviços;671,9770513;48494;37504;7105;31580;24084;5130;0,092621631;0,067306965;0,016850179;0,963301027;0,947899675;0,703440725;0,824674087;11,51288114;0,771;1;2006;0;126;-46,34677372;-23,53048544;4035,616951
3510401;Capivari;SÃO PAULO;SP;Sudeste;Centro de Zona B;AUP;1;48576;0,944993412;53152;53731;0,022761721;322,7;166,5044933;PPS;PSDB;20;0;1527992,814;29413,32489;Serviços;790,1637662;31749;22434;6500;22716;16108;4364;0,068496291;0,082943311;0,009303152;0,624116369;0,615205638;0,645059173;0,344800602;20,9288609;0,75;1;2006;1;704;-47,50964765;-22,99575478;4282,193572
3542107;Rafard;SÃO PAULO;SP;Sudeste;Centro Local;AUP;0;8612;0,881444496;9004;9030;0,011190233;121,4;74,38220758;PMDB;PSD;5;0;190029,162;21227,56502;Indústria;697,0516667;5099;3527;1067;3724;2523;796;0,06929526;0,060352514;0,00852934;0,749179423;0,740810974;0,745091595;0,57260998;44,54839069;0,745;1;1972;;716;-47,52620057;-23,01495616;4467,792659
3532405;Nazaré Paulista;SÃO PAULO;SP;Sudeste;;MR Bragança;1;16414;0,847508225;17794;17959;0,0203867;325,9;55,10586069;PT;PSDB;23;2,53;291184,007;16685,80637;Serviços;568,7761905;10672;6840;2592;6424;3915;1734;0,118059374;0,083720231;0,00044843;0,250929027;0,17515911;0,201703414;0,136744571;11,34751773;0,678;1;2006;;904;-46,39473721;-23,16587225;4211,113716
3515707;Ferraz De Vasconcelos;SÃO PAULO;SP;Sudeste;;RMSP;0;168306;0,955129348;184700;186808;0,023509373;29,9;6247,759197;PSDB;PRB;28;34,92;2592684,105;14377,76086;Serviços;556,4388732;64448;49440;9017;35212;26623;5531;0,131785939;0,102685547;0,010187545;0,89967915;0,779920669;0,435797241;0,688537169;10,9562626;0,738;1;2006;0;111;-46,37393919;-23,5610608;3804,292769
3523107;Itaquaquecetuba;SÃO PAULO;SP;Sudeste;;RMSP;0;321770;1;352801;356774;0,023283719;83;4298,481928;PTN;PSDB;86;140,64;5060802,49;14687,81015;Serviços;523,4205038;107548;79468;18562;56429;40247;11609;0,145754981;0,098413828;0,008901181;0,732003959;0,698411998;0,571905559;0,445084859;13,1903802;0,714;1;1992;0;118;-46,363524;-23,48315528;3677,229075
3545308;Salto De Pirapora;SÃO PAULO;SP;Sudeste;;RMS;0;40132;0,78398784;43574;43990;0,02078471;280,5;156,8270945;PMDB;PDT;14;15,53;1243452,897;29113,85851;Indústria;632,1850794;20924;14847;4322;12836;8928;2791;0,107074648;0,091402603;0,017804196;0,554070954;0,524135815;0,426166743;0,503050362;27,81125429;0,729;1;2010;1;619;-47,58064371;-23,65280698;3774,686299
3529401;Mauá;SÃO PAULO;SP;Sudeste;;RMSP;1;417064;1;453286;457696;0,021039163;61,3;7466,492659;PT;PSB;111;91,24;10220779,69;23012,72514;Serviços;685,26252;203080;152112;36398;143680;109200;24474;0,068533562;0,082616179;0,02448065;0,84522722;0,808888437;0,653794416;0,769240323;10,2501025;0,766;1;1970;0;122;-46,45580648;-23,67202401;5929,562508
3502903;Araçoiaba Da Serra;SÃO PAULO;SP;Sudeste;;RMS;0;27299;0,687351185;31321;31915;0,034956795;255,4;124,9608457;PT;PV;19;23,51;481780,3934;16012,37681;Serviços;833,324375;18089;12333;4378;11761;7816;3063;0,095511236;0,074053098;0,000734603;0,279467394;0,191073656;0,586114017;0,540869921;26,04760199;0,776;1;2006;1;604;-47,61260677;-23,51286776;3833,791671
3532009;Morungaba;SÃO PAULO;SP;Sudeste;;RMC;1;11769;0,854023282;12934;13085;0,023878264;146,9;89,07420014;PV;PSD;7;2,32;405854,9409;32157,11441;Indústria;839,2583871;8795;6456;1431;6030;4308;1038;0,084270309;0,066322212;0,000704126;0,45105654;0,344224238;0,505158249;0,417489385;7,825338446;0,715;1;2006;;211;-46,79621908;-22,8707196;5354,088014
3507100;Bom Jesus Dos Perdões;SÃO PAULO;SP;Sudeste;;MR Bragança;1;19708;0,881672417;23025;23530;0,039655059;107,6;218,6802974;PV;PSDB;8;4,81;439637,6717;20005,35456;Serviços;884,3040426;13178;8852;3070;7910;5148;2008;0,114501285;0,088616552;0,00140056;0,726635817;0,726437315;0,841147432;0,586060953;22,2143238;0,713;0;;0;902;-46,46545454;-23,13284863;4096,30449
3519071;Hortolândia;SÃO PAULO;SP;Sudeste;;RMC;1;192692;1;215819;219039;0,028742064;62,5;3504,624;PT;PDT;48;97,5;9202710,44;44002,84232;Serviços;683,4011715;97745;74111;17354;58219;43212;11399;0,113924257;0,087693587;0,069353366;0,83187947;0,794743228;0,883618251;0,653104985;13,17479661;0,756;1;2008;0;206;-47,20771394;-22,87858822;3900,374444
3526209;Juquitiba;SÃO PAULO;SP;Sudeste;;RMSP;0;28737;0,773915162;30642;30837;0,016175968;522,1;59,06339782;PPS;PR;23;2,6;419064,4891;13858,41096;Serviços;443,1281481;13953;9723;2489;7726;5210;1371;0,132902441;0,126671966;0,000728438;0,106907989;0,087088124;0,053629308;0,141904498;26,27861906;0,709;1;2007;0;120;-47,07041612;-23,9296701;5813,703894
3531803;Monte Mor;SÃO PAULO;SP;Sudeste;;RMC;0;48949;0,939304174;55409;56335;0,031475987;240,5;234,2411642;PMDB;PMDB;20;15,27;2777871,939;51934,48884;Indústria;630,0059701;25991;19306;4764;15625;11226;3107;0,114534337;0,089246316;0,005665375;0,515526674;0,449589969;0,759524921;0,49918688;25,70599684;0,733;1;2010;0;210;-47,30731677;-22,95324273;4340,185689
3547809;Santo André;SÃO PAULO;SP;Sudeste;;RMSP;1;676407;1;710210;712749;0,012266052;174,9;4075,180103;PT;PSDB;234;143,12;25027925,43;35503,5243;Serviços;1206,945586;498429;389013;72230;401013;318710;53985;0,040671557;0,059958597;0,048732437;0,909915102;0,866280565;0,793102485;0,769912944;10,03373313;0,815;1;2004;1;132;-46,52136754;-23,65604729;3221,157493
3548708;São Bernardo Do Campo;SÃO PAULO;SP;Sudeste;;RMSP;1;765463;0,983271562;816925;;0,016399624;408,8;2011,355186;PT;PSDB;338;196,9;47668531,31;59149,80402;Serviços;1174,807485;554294;426085;78339;422451;331191;56509;0,051679828;0,067510315;0,044484126;0,793985153;0,783019658;0,70916482;0,699736514;13,6785588;0,805;1;2011;1;133;-46,55528949;-23,70140543;3293,786965
3540606;Porto Feliz;SÃO PAULO;SP;Sudeste;;RMS;0;48893;0,840529319;51928;52221;0,015169889;557,1;93,73721055;PSD;PTB;34;9,24;1313912,883;25602,35547;Serviços;715,4985714;29792;20403;6578;19993;13885;4095;0,080014607;0,099431036;0,012344677;0,566900449;0,558690947;0,577669368;0,463621186;19,36933447;0,758;1;2006;0;617;-47,51858623;-23,21292899;3571,107546
3509502;Campinas;SÃO PAULO;SP;Sudeste;Capital Regional A;RMC;1;1080113;0,982804577;1164098;;0,01889654;795;1475,937107;PSB;PSB;587;500,01;51347710,76;44850,56781;Serviços;1369,791509;846977;655507;123378;664008;519135;96596;0,047754186;0,050160591;0,05940875;0,810091193;0,784408269;0,786832369;0,799397649;15,15654109;0,805;1;2006;1;200;-47,06178932;-22,8961587;2440,520938
3537800;Piedade;SÃO PAULO;SP;Sudeste;Centro Local;RMS;1;52143;0,455669984;54717;54907;0,012118973;746,9;73,51318784;PSDB;PSDB;17;0;940332,4163;17310,02368;Serviços;566,7767692;30911;19474;8489;20421;12329;5926;0,09573482;0,074531069;0,006447401;0,312472026;0,272113071;0,290205595;0,272962609;33,01359059;0,716;1;2006;0;615;-47,4172824;-23,71613753;5951,881834
3514908;Elias Fausto;SÃO PAULO;SP;Sudeste;Centro Local;AUP;0;15775;0,796069731;17085;17241;0,020143822;202,7;85,05673409;PSDB;PMDB;10;0;478003,3707;28517,08452;Serviços;693,0246667;6943;4586;1630;4100;2574;972;0,122445082;0,108930345;0,018302081;0,54198922;0,52696541;0,572131013;0,632468259;17,72421127;0,695;1;2013;0;709;-47,375238;-23,04243399;5050,664583
3504107;Atibaia;SÃO PAULO;SP;Sudeste;;MR Bragança;1;126603;0,910160107;137187;138449;0,020274989;478,4;289,4000836;PSD;PSB;93;101,34;4701014,214;34934,37629;Serviços;1021,743119;101223;69458;23521;69905;47041;17469;0,081058375;0,061298493;0,009877415;0,438426281;0,422889615;0,429900993;0,465030649;29,43448986;0,765;1;2006;1;901;-46,56484817;-23,12085811;3778,879952
3515103;Embu Guaçu;SÃO PAULO;SP;Sudeste;;RMSP;0;62769;0,973330784;67296;67788;0,017562305;154,9;437,6242737;PMDB;PSB;22;19,67;866631,8619;13076,69582;Serviços;603,114875;36019;25022;5856;17553;11829;3222;0,161648665;0,126925241;0,002193886;0,647499056;0,42404834;0,806902181;0,544409364;16,46903821;0,749;1;2007;0;110;-46,81268728;-23,83399426;5344,463314
3513801;Diadema;SÃO PAULO;SP;Sudeste;;RMSP;0;386089;1;412428;415180;0,016635284;30,8;13479,87013;PV;PV;92;55,74;13428069,27;33015,67491;Serviços;643,4212402;193984;135027;45195;132357;93000;29897;0,077426205;0,086156876;0,006650638;0,819983743;0,777048507;0,649653368;0,779630174;12,45077671;0,757;1;2008;0;108;-46,61142421;-23,69728754;3415,168209
3548807;São Caetano Do Sul;SÃO PAULO;SP;Sudeste;;RMSP;0;149263;1;158024;158825;0,014361416;15,4;10313,31169;PMDB;PSDB;72;30,72;15306267,13;97889,94215;Serviços;1804,24568;137566;110933;13949;114002;93957;10949;0,033775709;0,049623931;0,310885957;0,99588266;0,995110541;0,954915975;0,924133584;9,541681244;0,862;1;2006;1;134;-46,56606253;-23,62614077;2249,642606
